 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.150689  0.150693  0.162284  0.162417  0.167955  0.236275 0.255233
 2  0.0170677  0.142932  0.147529  0.162455  0.16664  0.17414  0.23821 0.248794
 3  0.0340295  0.129977  0.142692  0.160389  0.17476  0.185408  0.238307 0.24332
 4  0.0507437  0.115795  0.138763  0.157859  0.184171  0.197193  0.227206 0.246087
 5  0.0668603  0.10114  0.136279  0.155962  0.194323  0.208581  0.216045 0.235836
 6  0.0782238  0.090256  0.135432  0.155271  0.20433  0.205702  0.215849 0.22878
 7  0.0786924  0.0908174  0.132116  0.1585  0.202727  0.204747  0.217461 0.229616
 8  0.0800546  0.0924747  0.125205  0.165168  0.199314  0.202249  0.220904 0.231761
 9  0.0821575  0.0951505  0.117319  0.172707  0.195438  0.198861  0.22484 0.234576
 10  0.084605  0.0987292  0.109465  0.180196  0.191756  0.19506  0.228647 0.237624
 11  0.0860994  0.103047  0.103077  0.184773  0.191059  0.191142  0.230878 0.240589
 12  0.0762384  0.104467  0.113396  0.179029  0.183358  0.204908  0.220925 0.244673
 13  0.0583526  0.115261  0.124913  0.172848  0.176382  0.20541  0.220415 0.25362
 14  0.0392364  0.128126  0.136287  0.16806  0.170344  0.19044  0.234412 0.245283
 15  0.0197015  0.141529  0.145948  0.164847  0.165204  0.176077  0.238827 0.24724
 16  0  0.150689  0.150693  0.162284  0.162417  0.167955  0.236275 0.255233
