 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.146087  0.15191  0.151934  0.184082  0.184145  0.24683 0.274424
 2  0.0174817  0.137931  0.150661  0.158542  0.184071  0.186401  0.247263 0.264327
 3  0.034764  0.126542  0.147865  0.163754  0.186216  0.192235  0.245636 0.253249
 4  0.0515948  0.114138  0.145026  0.164143  0.193078  0.200077  0.238288 0.242416
 5  0.0674465  0.101054  0.143048  0.162774  0.202326  0.208701  0.228545 0.232237
 6  0.0778737  0.0915677  0.142347  0.162104  0.208587  0.21454  0.222118 0.225913
 7  0.0783814  0.0918536  0.139621  0.164936  0.206213  0.21689  0.219862 0.22808
 8  0.0798833  0.0925589  0.134015  0.170951  0.202203  0.2164  0.220818 0.231324
 9  0.0823203  0.0931565  0.128234  0.177774  0.197986  0.212988  0.224849 0.234557
 10  0.0856045  0.0925978  0.123905  0.184384  0.193782  0.21012  0.228549 0.237681
 11  0.0896287  0.0896411  0.122343  0.189667  0.189681  0.208778  0.230618 0.240628
 12  0.0766451  0.0994897  0.126961  0.181885  0.191257  0.215757  0.221477 0.243936
 13  0.0591582  0.111048  0.135835  0.17472  0.187437  0.208194  0.2293 0.25171
 14  0.0400349  0.123581  0.144381  0.167795  0.184633  0.196056  0.24237 0.25978
 15  0.0201737  0.136311  0.150049  0.159878  0.183915  0.187296  0.247277 0.26785
 16  0  0.146087  0.15191  0.151934  0.184082  0.184145  0.24683 0.274377
