 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.160805  0.184502  0.186498  0.186711  0.249398  0.249455 0.28031
 2  0.0199928  0.158671  0.180642  0.186453  0.189401  0.249829  0.251304 0.278519
 3  0.0395693  0.1534  0.171551  0.186221  0.1962  0.250884  0.252118 0.277926
 4  0.0580209  0.145141  0.162796  0.185939  0.204977  0.246261  0.25228 0.283399
 5  0.0735022  0.134661  0.157986  0.185715  0.214631  0.23697  0.253505 0.290386
 6  0.0805572  0.128982  0.156581  0.18563  0.22205  0.229517  0.253999 0.290394
 7  0.0812775  0.129215  0.154547  0.187521  0.221572  0.229018  0.254174 0.290314
 8  0.0832922  0.129905  0.149664  0.191998  0.220282  0.227591  0.254629 0.290165
 9  0.0861369  0.131041  0.143762  0.19726  0.218652  0.225398  0.255178 0.29011
 10  0.088933  0.132602  0.138252  0.201729  0.217753  0.222614  0.255616 0.290198
 11  0.0902532  0.13452  0.134664  0.203468  0.219358  0.219483  0.255785 0.290268
 12  0.0833075  0.137551  0.139608  0.199804  0.212181  0.229788  0.255085 0.290163
 13  0.0663619  0.145623  0.150539  0.19446  0.204274  0.241745  0.253343 0.286198
 14  0.0454953  0.152143  0.16595  0.190074  0.196416  0.250882  0.251402 0.279034
 15  0.0230559  0.158059  0.179066  0.18731  0.189715  0.249973  0.251715 0.278122
 16  0  0.160805  0.184502  0.186498  0.186711  0.249398  0.249455 0.28031
