tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.596556, 0.659722, 0.696405, 0.696471, 0.830013, 0.830105, 1.13865
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.0717254, 0.581426, 0.640688, 0.693184, 0.710663, 0.837192, 0.854155, 1.12236
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.14319, 0.544651, 0.604083, 0.685601, 0.744849, 0.856138, 0.905637, 1.06953
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.213965, 0.491419, 0.576388, 0.677607, 0.786056, 0.882352, 0.963533, 1.01921
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.282696, 0.429866, 0.560993, 0.671916, 0.826786, 0.910635, 0.967706, 1.02729
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.331571, 0.382947, 0.556023, 0.669887, 0.849025, 0.927064, 0.944641, 0.993114
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.334487, 0.38449, 0.544444, 0.680725, 0.843873, 0.932322, 0.938206, 0.997494
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.34308, 0.389013, 0.517638, 0.705205, 0.831377, 0.924332, 0.94511, 1.00495
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.35691, 0.396089, 0.484865, 0.733744, 0.815696, 0.909222, 0.961184, 1.009
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.375352, 0.403915, 0.451314, 0.761188, 0.799053, 0.896639, 0.978147, 1.00609
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.397631, 0.397895, 0.432709, 0.782448, 0.782639, 0.891095, 0.994383, 0.994628
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.326619, 0.45141, 0.458237, 0.751825, 0.789342, 0.918419, 0.954041, 1.01673
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.246791, 0.496752, 0.512547, 0.726036, 0.76738, 0.908044, 0.977189, 0.986524
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.165215, 0.538568, 0.576248, 0.706973, 0.739634, 0.8675, 0.922283, 1.04267
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0827949, 0.577314, 0.633691, 0.696645, 0.711668, 0.839826, 0.860832, 1.10746
tefreqs:, 16, 0, 0, 0, 0, 0, 0.596556, 0.659722, 0.696405, 0.696471, 0.830013, 0.830105, 1.13865
