 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.204451  0.204451  0.255662  0.257121  0.346104  0.371637 0.371637
 2  0.0259229  0.200352  0.204585  0.256261  0.261071  0.345918  0.368892 0.371639
 3  0.0504095  0.190716  0.204938  0.257308  0.270815  0.345434  0.361912 0.371643
 4  0.0718614  0.179309  0.205376  0.258558  0.282354  0.344836  0.352971 0.37165
 5  0.087884  0.169242  0.205732  0.259566  0.292555  0.344354  0.344541 0.371655
 6  0.0942604  0.164849  0.205868  0.259951  0.297079  0.340643  0.344169 0.371657
 7  0.0956491  0.16641  0.203178  0.262261  0.297626  0.34037  0.344193 0.369137
 8  0.0994139  0.170446  0.196662  0.267535  0.299416  0.339597  0.344309 0.362798
 9  0.104405  0.175337  0.189115  0.272866  0.302681  0.338572  0.344517 0.354917
 10  0.108832  0.179222  0.183055  0.276346  0.306741  0.337709  0.344714 0.347867
 11  0.11065  0.180689  0.180689  0.277489  0.308844  0.337373  0.344794 0.344794
 12  0.106603  0.180756  0.18275  0.275342  0.304283  0.338346  0.347403 0.348005
 13  0.0928918  0.183203  0.188265  0.269974  0.292694  0.341364  0.353994 0.354706
 14  0.068607  0.190193  0.195461  0.263467  0.277797  0.344207  0.362041 0.36242
 15  0.036325  0.199475  0.201816  0.257936  0.263695  0.345694  0.368856 0.368973
 16  0  0.204451  0.204451  0.255662  0.257121  0.346104  0.371637 0.371637
