tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.185681, 0.249562, 0.249787, 0.330931, 0.331735, 0.339282, 0.438758
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0303822, 0.183268, 0.249179, 0.251408, 0.323213, 0.331421, 0.347831, 0.434857
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.0596229, 0.176627, 0.248055, 0.255486, 0.312903, 0.332144, 0.359058, 0.426867
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.0865271, 0.166768, 0.246686, 0.260043, 0.304311, 0.333019, 0.369772, 0.417958
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.109476, 0.154649, 0.245597, 0.26337, 0.298667, 0.33371, 0.378993, 0.409651
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.121939, 0.14593, 0.245185, 0.264545, 0.296724, 0.33397, 0.383507, 0.405411
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.122638, 0.145879, 0.243642, 0.266244, 0.296088, 0.334073, 0.384017, 0.404976
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.124694, 0.145555, 0.240315, 0.270136, 0.29426, 0.334334, 0.385515, 0.403664
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.12799, 0.144485, 0.236969, 0.274725, 0.29144, 0.334648, 0.387913, 0.401472
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.132354, 0.142023, 0.234635, 0.279332, 0.287875, 0.334906, 0.391084, 0.398442
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.137574, 0.137576, 0.233827, 0.283666, 0.28384, 0.335033, 0.394549, 0.395009
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.121793, 0.149674, 0.236552, 0.274842, 0.29193, 0.334543, 0.385722, 0.403671
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.0978949, 0.162439, 0.242048, 0.265927, 0.300115, 0.333541, 0.374754, 0.413809
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.0682576, 0.174039, 0.246583, 0.257932, 0.309937, 0.332324, 0.362569, 0.424204
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0350094, 0.182495, 0.248919, 0.252043, 0.321688, 0.33132, 0.349636, 0.433787
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.185681, 0.249562, 0.249787, 0.330931, 0.331735, 0.339282, 0.438843
