 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.361801  0.385149  0.527411  0.528927  0.534092  0.536377 0.641684
 2  0.0410392  0.361629  0.382763  0.525298  0.527454  0.536135  0.537954 0.631851
 3  0.0797943  0.360981  0.376168  0.520779  0.526157  0.538395  0.541798 0.613025
 4  0.113294  0.358739  0.368097  0.516389  0.525846  0.539849  0.546296 0.594892
 5  0.137186  0.35271  0.364314  0.513285  0.526255  0.540651  0.550639 0.581179
 6  0.146107  0.34915  0.363659  0.512175  0.526538  0.540918  0.552926 0.575511
 7  0.147035  0.34937  0.363005  0.51241  0.525804  0.541169  0.552901 0.576536
 8  0.149549  0.350001  0.361185  0.513145  0.523947  0.541719  0.55285 0.579454
 9  0.15287  0.350992  0.358591  0.514313  0.521598  0.542249  0.552785 0.583942
 10  0.155852  0.352259  0.35586  0.515794  0.519287  0.54261  0.552696 0.58962
 11  0.157162  0.353645  0.353852  0.516963  0.517839  0.54277  0.552507 0.596002
 12  0.149911  0.354282  0.356761  0.51593  0.519729  0.542311  0.552646 0.587666
 13  0.126877  0.359194  0.362304  0.516882  0.521928  0.54145  0.548899 0.592832
 14  0.0909256  0.360782  0.373329  0.520343  0.524047  0.53999  0.542982 0.608706
 15  0.0472015  0.361575  0.381973  0.524853  0.526726  0.537347  0.537874 0.62918
 16  0  0.361801  0.385149  0.527411  0.528927  0.534092  0.536376 0.641685
