tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.765427, 0.828386, 0.828387, 0.931195, 1.14145, 1.19443, 1.21308
tefreqs:, 2, 0.1, 0, 0, 0.1, 0.0873661, 0.739271, 0.822888, 0.83236, 0.962499, 1.11441, 1.1516, 1.24063
tefreqs:, 3, 0.2, 0, 0, 0.2, 0.174282, 0.677554, 0.823989, 0.843977, 1.02175, 1.06984, 1.10737, 1.28639
tefreqs:, 4, 0.3, 0, 0, 0.3, 0.26004, 0.603696, 0.830471, 0.862124, 1.02598, 1.07041, 1.08719, 1.33089
tefreqs:, 5, 0.4, 0, 0, 0.4, 0.342438, 0.527201, 0.83723, 0.883541, 0.988697, 1.0471, 1.15064, 1.27909
tefreqs:, 6, 0.5, 0, 0, 0.5, 0.397697, 0.473767, 0.840138, 0.896091, 0.970808, 1.03848, 1.20389, 1.22709
tefreqs:, 7, 0.5, 0.1, 0, 0.509902, 0.408647, 0.479796, 0.806726, 0.919307, 0.928544, 1.08426, 1.20997, 1.2262
tefreqs:, 8, 0.5, 0.2, 0, 0.538516, 0.439805, 0.497389, 0.755403, 0.843185, 0.976814, 1.1366, 1.22175, 1.23356
tefreqs:, 9, 0.5, 0.3, 0, 0.583095, 0.487115, 0.525202, 0.70306, 0.765526, 1.0232, 1.16425, 1.20973, 1.27723
tefreqs:, 10, 0.5, 0.4, 0, 0.640312, 0.545793, 0.561388, 0.65236, 0.689835, 1.0619, 1.17571, 1.19069, 1.31447
tefreqs:, 11, 0.5, 0.5, 0, 0.707107, 0.599902, 0.599905, 0.609063, 0.630275, 1.07962, 1.17904, 1.17907, 1.32552
tefreqs:, 12, 0.4, 0.4, 0, 0.565685, 0.490736, 0.613485, 0.623525, 0.731395, 1.04874, 1.16532, 1.20368, 1.31238
tefreqs:, 13, 0.3, 0.3, 0, 0.424264, 0.369442, 0.648049, 0.652208, 0.845207, 0.99449, 1.12543, 1.21607, 1.32236
tefreqs:, 14, 0.2, 0.2, 0, 0.282843, 0.246869, 0.685806, 0.710704, 0.914501, 0.977899, 1.06072, 1.19466, 1.24355
tefreqs:, 15, 0.1, 0.1, 0, 0.141421, 0.123598, 0.731959, 0.780284, 0.86532, 0.982849, 1.07599, 1.17678, 1.22025
tefreqs:, 16, 0, 0, 0, 0, 0, 0.765427, 0.828386, 0.828387, 0.931195, 1.14145, 1.19443, 1.21308
