freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.189121, 0.189121, 0.204353, 0.216964, 0.223388, 0.292836
freqs:, 2, 0.1, 0, 0, 0.1, 0.0231543, 0.0350827, 0.183477, 0.189266, 0.203286, 0.218529, 0.22776, 0.29297
freqs:, 3, 0.2, 0, 0, 0.2, 0.0453329, 0.0681324, 0.17193, 0.189646, 0.200089, 0.220185, 0.238426, 0.293286
freqs:, 4, 0.3, 0, 0, 0.3, 0.0653655, 0.0968431, 0.159134, 0.190119, 0.194949, 0.221683, 0.250821, 0.293678
freqs:, 5, 0.4, 0, 0, 0.4, 0.0811621, 0.118034, 0.147712, 0.18898, 0.190505, 0.222838, 0.262798, 0.293999
freqs:, 6, 0.5, 0, 0, 0.5, 0.0878884, 0.12644, 0.142458, 0.18585, 0.190652, 0.223277, 0.269637, 0.294124
freqs:, 7, 0.5, 0.1, 0, 0.509902, 0.0892924, 0.131964, 0.143988, 0.185983, 0.186506, 0.227398, 0.269918, 0.293793
freqs:, 8, 0.5, 0.2, 0, 0.538516, 0.0931547, 0.146161, 0.147977, 0.177786, 0.18633, 0.235993, 0.270915, 0.292931
freqs:, 9, 0.5, 0.3, 0, 0.583095, 0.0984409, 0.152891, 0.163652, 0.168562, 0.186761, 0.24479, 0.273221, 0.291883
freqs:, 10, 0.5, 0.4, 0, 0.640312, 0.10337, 0.156862, 0.161275, 0.178259, 0.187112, 0.251079, 0.277864, 0.291049
freqs:, 11, 0.5, 0.5, 0, 0.707107, 0.105492, 0.15838, 0.158381, 0.184069, 0.187248, 0.253247, 0.282791, 0.290731
freqs:, 12, 0.4, 0.4, 0, 0.565685, 0.100792, 0.159294, 0.160618, 0.171368, 0.188366, 0.249381, 0.273116, 0.29099
freqs:, 13, 0.3, 0.3, 0, 0.424264, 0.0860439, 0.139308, 0.16367, 0.166806, 0.192226, 0.24077, 0.259115, 0.29155
freqs:, 14, 0.2, 0.2, 0, 0.282843, 0.0622475, 0.097127, 0.172356, 0.175532, 0.197522, 0.230811, 0.244284, 0.292199
freqs:, 15, 0.1, 0.1, 0, 0.141421, 0.0325188, 0.0497156, 0.18303, 0.184521, 0.202346, 0.221554, 0.230444, 0.292687
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.189121, 0.189121, 0.204353, 0.216964, 0.223388, 0.292858
