tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.286219, 0.286737, 0.393319, 0.439666, 0.440987, 0.573394, 0.59602
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0404677, 0.283512, 0.286115, 0.399565, 0.439599, 0.441138, 0.573333, 0.592728
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.076687, 0.276391, 0.285439, 0.414949, 0.439487, 0.441637, 0.573161, 0.587154
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.105137, 0.26871, 0.284618, 0.431072, 0.440838, 0.442602, 0.572925, 0.583052
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.123307, 0.262993, 0.283956, 0.435648, 0.442617, 0.450492, 0.572715, 0.581066
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.129573, 0.260872, 0.283703, 0.435904, 0.442871, 0.455257, 0.572631, 0.580563
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.129947, 0.261462, 0.283063, 0.436185, 0.442717, 0.455399, 0.572653, 0.581827
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.130974, 0.263145, 0.28123, 0.43694, 0.442294, 0.455815, 0.572685, 0.585455
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.132371, 0.26568, 0.278454, 0.437935, 0.44171, 0.456442, 0.572699, 0.59093
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.133676, 0.268737, 0.275125, 0.438872, 0.441112, 0.457096, 0.572696, 0.597449
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.134271, 0.271581, 0.272133, 0.439441, 0.440713, 0.457392, 0.572686, 0.602851
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.130346, 0.267382, 0.277579, 0.438671, 0.440732, 0.45494, 0.572767, 0.592479
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.115123, 0.268171, 0.281961, 0.43705, 0.438604, 0.446397, 0.572924, 0.585663
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.08646, 0.274563, 0.284582, 0.420432, 0.439003, 0.442397, 0.57313, 0.586374
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0464485, 0.282761, 0.285854, 0.401495, 0.439468, 0.441313, 0.573317, 0.591987
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.286219, 0.286737, 0.393319, 0.439666, 0.440987, 0.573394, 0.59602
