tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.744489, 0.806286, 0.806287, 0.920346, 1.11583, 1.17687, 1.17687
tefreqs:, 2, 0.1, 0, 0, 0.1, 0.0851389, 0.719094, 0.803934, 0.810294, 0.94766, 1.08659, 1.13359, 1.20669
tefreqs:, 3, 0.2, 0, 0, 0.2, 0.169759, 0.660281, 0.806361, 0.822065, 1.00242, 1.04102, 1.09051, 1.25356
tefreqs:, 4, 0.3, 0, 0, 0.3, 0.253022, 0.589605, 0.812759, 0.840686, 0.996523, 1.05218, 1.06707, 1.29863
tefreqs:, 5, 0.4, 0, 0, 0.4, 0.332282, 0.516633, 0.819132, 0.863493, 0.957852, 1.03159, 1.12596, 1.3341
tefreqs:, 6, 0.5, 0, 0, 0.5, 0.383075, 0.467788, 0.821834, 0.878094, 0.937925, 1.02338, 1.17624, 1.20104
tefreqs:, 7, 0.5, 0.1, 0, 0.509902, 0.393997, 0.473573, 0.789467, 0.892783, 0.909895, 1.06232, 1.18304, 1.20028
tefreqs:, 8, 0.5, 0.2, 0, 0.538516, 0.425041, 0.490463, 0.739543, 0.820016, 0.958009, 1.1098, 1.19626, 1.20905
tefreqs:, 9, 0.5, 0.3, 0, 0.583095, 0.472133, 0.517216, 0.688702, 0.744267, 1.00521, 1.13496, 1.18428, 1.25567
tefreqs:, 10, 0.5, 0.4, 0, 0.640312, 0.5308, 0.552147, 0.639497, 0.669493, 1.04626, 1.14573, 1.16321, 1.29565
tefreqs:, 11, 0.5, 0.5, 0, 0.707107, 0.593453, 0.593456, 0.593486, 0.60168, 1.06656, 1.14893, 1.14896, 1.30697
tefreqs:, 12, 0.4, 0.4, 0, 0.565685, 0.478926, 0.604154, 0.606349, 0.711917, 1.03199, 1.13589, 1.17741, 1.29412
tefreqs:, 13, 0.3, 0.3, 0, 0.424264, 0.36026, 0.628283, 0.64311, 0.823219, 0.975642, 1.09884, 1.19525, 1.24835
tefreqs:, 14, 0.2, 0.2, 0, 0.282843, 0.240657, 0.665551, 0.698524, 0.890823, 0.957295, 1.03878, 1.17783, 1.20747
tefreqs:, 15, 0.1, 0.1, 0, 0.141421, 0.12047, 0.711203, 0.763617, 0.843139, 0.966311, 1.05095, 1.1618, 1.18404
tefreqs:, 16, 0, 0, 0, 0, 0, 0.744489, 0.806286, 0.806287, 0.920346, 1.11583, 1.17687, 1.17687
